iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.1381632454186965,1.3948477883549297,0.5197610294117647,67.49154448509216,False,1,ec61bab0,2023-06-06_15-13-31,1686064411,67.49154448509216,30778,8fa062c8815e,172.17.0.3,67.49154448509216,1
0,2.2105119303592202,1.1848599086789524,0.6341911764705882,79.42796921730042,False,1,ec61bab0,2023-06-06_15-18-27,1686064707,146.91951370239258,30776,8fa062c8815e,172.17.0.3,79.42796921730042,1
1,0.672135508320864,0.5921092283199815,0.828125,71.04251050949097,False,2,ec61bab0,2023-06-06_15-19-38,1686064778,217.96202421188354,30776,8fa062c8815e,172.17.0.3,150.47047972679138,2
2,0.2773671963261169,0.3407967111424488,0.9145220588235294,50.41603755950928,False,3,ec61bab0,2023-06-06_15-20-29,1686064829,268.3780617713928,30776,8fa062c8815e,172.17.0.3,200.88651728630066,3
3,0.23044839527602623,0.27572868150823254,0.9214154411764706,51.47820496559143,False,4,ec61bab0,2023-06-06_15-21-20,1686064880,319.85626673698425,30776,8fa062c8815e,172.17.0.3,252.3647222518921,4
4,0.1004870674003241,0.1899601073579534,0.9397977941176471,38.71328687667847,False,5,ec61bab0,2023-06-06_15-21-59,1686064919,358.5695536136627,30776,8fa062c8815e,172.17.0.3,291.07800912857056,5
5,0.05434535630047321,0.2702389719129047,0.9310661764705882,52.02353262901306,False,6,ec61bab0,2023-06-06_15-22-51,1686064971,410.5930862426758,30776,8fa062c8815e,172.17.0.3,343.1015417575836,6
6,0.05642469805773818,0.18210106842932017,0.9485294117647058,3330.8360657691956,False,7,ec61bab0,2023-06-06_16-18-22,1686068302,3741.4291520118713,30776,8fa062c8815e,172.17.0.3,3673.937607526779,7
7,0.028560156269378745,0.16998886790208736,0.9526654411764706,52.9504029750824,False,8,ec61bab0,2023-06-06_16-19-15,1686068355,3794.3795549869537,30776,8fa062c8815e,172.17.0.3,3726.8880105018616,8
8,0.0314344716805386,0.23887144734480364,0.9329044117647058,53.915305852890015,False,9,ec61bab0,2023-06-06_16-20-08,1686068408,3848.2948608398438,30776,8fa062c8815e,172.17.0.3,3780.8033163547516,9
